FAMILY ID,IMP WEALTH W/ EQUITY,ACC WEALTH W/ EQUITY
1616.0,213048.51340276655,0.0
1392.0,460849.6211903815,1.0
5667.0,166510.2565743608,0.0
954.0,-47475.06589443209,0.0
132.0,204435.91392478236,0.0
464.0,0.0,0.0
5063.0,1208.7858916469024,0.0
5618.0,0.0,0.0
3235.0,773622.9706540175,0.0
318.0,57266.231616772,0.0
1731.0,44271.7832815678,0.0
3791.0,52887.4047242811,0.0
7945.0,68751.20856978213,1.0
434.0,95947.38014947288,0.0
113.0,108496.08868713229,1.0
824.0,179051.41020019742,0.0
4023.0,491070.77946391865,1.0
5024.0,19340.57426635044,1.0
3530.0,115287.95441582332,0.0
3516.0,23341.655567701684,0.0
2837.0,882413.7009022387,0.0
909.0,40343.229133715366,0.0
1799.0,530354.8099600784,0.0
78.0,245534.63424077706,1.0
183.0,162883.8988994201,0.0
1772.0,472937.48010685056,0.0
315.0,203529.32450604718,0.0
6520.0,216070.4781318838,0.0
775.0,18888.79053934741,0.0
1195.0,7554.91182279314,0.0
1185.0,651988.890307048,1.0
424.0,342992.9967548086,0.0
2036.0,34148.20143902499,0.0
1489.0,87636.97714440043,1.0
1513.0,-43818.488572200215,0.0
3056.0,67238.71522285894,1.0
1815.0,-3777.45591139657,0.0
1090.0,46538.25682840574,0.0
2958.0,619502.7694690375,1.0
875.0,1888727.955698285,0.0
7772.0,593513.8727986291,0.0
1130.0,64367.848730197555,0.0
1279.0,293432.7751972856,1.0
1610.0,1947656.2679160715,0.0
3411.0,880902.7185376801,0.0
3727.0,28406.468453702208,0.0
4923.0,93680.90660263493,1.0
232.0,634612.5931146238,0.0
1421.0,115741.24912519091,0.0
1012.0,531865.7923246371,1.0
2650.0,5741.732985322787,0.0
2927.0,2417.571783293805,0.0
1961.0,-37472.36264105397,0.0
3468.0,10576.876551910396,0.0
4527.0,196427.70739262164,0.0
7664.0,5288.438275955198,0.0
639.0,52828.47641206331,0.0
3756.0,-62630.21901095513,0.0
437.0,906589.4187351768,0.0
7877.0,459036.44235291117,0.0
4263.0,3082404.023699601,0.0
1470.0,560574.457251251,0.0
4284.0,1155901.5088873503,0.0
5923.0,392855.4147852433,1.0
4777.0,176361.86159128306,0.0
5884.0,45329.47093675884,0.0
98.0,1007825.2371606049,0.0
161.0,435162.92099288484,0.0
839.0,542442.6688765475,0.0
727.0,299174.50818260835,0.0
933.0,309751.38473451877,0.0
6845.0,0.0,1.0
2685.0,62101.37518335961,0.0
6207.0,-10576.876551910396,0.0
725.0,200507.35977692992,0.0
3822.0,-6799.420640513826,0.0
1389.0,331962.82549353054,0.0
818.0,4638.715859194988,0.0
779.0,155631.1835495387,0.0
3196.0,4532.947093675884,0.0
3368.0,4684.045330131747,0.0
4455.0,22362.538995467694,0.0
2993.0,12087.858916469024,0.0
2971.0,0.0,0.0
4081.0,138859.2793029379,0.0
6098.0,-57417.329853227864,1.0
6987.0,6497.2241676021,0.0
1311.0,983347.3228547551,0.0
4064.0,10274.68007899867,0.0
2064.0,665058.8877604802,0.0
1707.0,613458.840010803,0.0
7653.0,22193.30897063713,0.0
1828.0,25913.34755218047,0.0
4278.0,-16620.80601014491,0.0
1583.0,506179.0921271404,0.0
2712.0,160164.13064321456,0.0
3695.0,31730.629655731187,0.0
188.0,263666.4226154806,0.0
1983.0,3021.964729117256,0.0
5193.0,3500946.138682341,1.0
5509.0,124260.16769657245,0.0
2395.0,670877.6808463954,0.0
3121.0,18282.8866111594,0.0
1854.0,143543.32463306966,0.0
5524.0,11634.564207101435,0.0
7002.0,0.0,0.0
1594.0,27197.682562055303,0.0
4823.0,114079.16852417642,0.0
5736.0,-15109.82364558628,0.0
6080.0,3324.1612020289817,0.0
5316.0,619502.7694690375,1.0
4778.0,190383.77793438712,0.0
7277.0,134477.43044571788,0.0
1641.0,1152879.544158233,0.0
1308.0,551508.5630638992,0.0
1376.0,172251.9895596836,0.0
652.0,205493.60157997342,0.0
1807.0,861259.947798418,0.0
543.0,3021.964729117256,0.0
777.0,0.0,0.0
4812.0,1208.7858916469024,0.0
651.0,7610.818170281809,0.0
7571.0,604.3929458234512,0.0
7575.0,151.0982364558628,0.0
4240.0,3441866.7282280987,1.0
442.0,128735.69746039511,1.0
503.0,15109.82364558628,0.0
371.0,32487.63182037506,1.0
2236.0,3626.357674940707,0.0
1451.0,-12087.858916469024,0.0
1234.0,9821.385369631082,0.0
1590.0,392402.1200758757,0.0
2772.0,-10576.876551910396,0.0
2203.0,110301.71261277984,1.0
87.0,2021694.4037794443,1.0
455.0,-2946.4156108893244,0.0
7199.0,1594086.3946093526,1.0
4869.0,667854.2051349136,0.0
3113.0,494091.23321067134,0.0
4594.0,109546.22143050053,1.0
5183.0,767579.0411957831,1.0
1763.0,1229939.6447507231,0.0
6428.0,865792.8948920938,1.0
6134.0,1092440.249575888,0.0
6760.0,494091.23321067134,1.0
6934.0,181317.88374703535,0.0
1034.0,1762560.9282576395,0.0
6930.0,302196.4729117256,0.0
4595.0,3021.964729117256,0.0
2550.0,936809.0660263493,0.0
5317.0,860353.3583796828,0.0
520.0,222114.40759011832,1.0
5688.0,100027.03253378117,0.0
112.0,182828.866111594,1.0
1391.0,40494.32737017123,0.0
5672.0,249312.09015217362,0.0
2050.0,3497924.173953224,0.0
1547.0,211537.53103820793,1.0
2951.0,123900.55389380749,0.0
2941.0,800820.6532160728,0.0
388.0,40192.13089725951,0.0
964.0,215314.9869496045,0.0
7184.0,28406.468453702208,0.0
2725.0,-12084.836951739906,1.0
1927.0,453.2947093675884,0.0
5079.0,-6119.478576462443,0.0
6588.0,45329.47093675884,1.0
1916.0,-4986.241803043473,0.0
1667.0,116347.15305337892,0.0
3526.0,506179.0921271404,0.0
3329.0,103048.99726289843,0.0
1496.0,404565.52811057266,0.0
2136.0,95947.38014947288,0.0
3674.0,180260.19609184432,0.0
6127.0,747484.4867295178,1.0
2560.0,217581.46049644242,0.0
2243.0,155631.1835495387,0.0
1996.0,2870866.4926613932,0.0
714.0,50617.90921271404,0.0
1304.0,194916.72502806303,0.0
2311.0,693540.9053324102,1.0
2902.0,4004.1032660803644,0.0
2749.0,174518.46310652152,0.0
3673.0,-2606.4445788636335,0.0
3658.0,37019.06793168638,0.0
2806.0,-4079.6523843082955,0.0
1839.0,173764.48290660678,0.0
228.0,16620.80601014491,0.0
450.0,73282.64468109346,0.0
572.0,1473207.8054446622,0.0
5084.0,-40796.523843082956,0.0
2342.0,204209.26657009858,0.0
3897.0,205493.60157997342,1.0
7.0,2541472.3371876124,0.0
26.0,226647.3546837942,0.0
7944.0,234202.26650658733,0.0
4830.0,491824.7596638334,0.0
4906.0,953429.8720364943,0.0
7173.0,24931.209015217362,0.0
2895.0,373212.6440459811,1.0
162.0,411440.4978693144,0.0
10.0,1098484.1790341225,0.0
6571.0,0.0,0.0
4718.0,1263181.256771013,0.0
62.0,62856.866365638925,0.0
7582.0,744158.8145451243,1.0
6200.0,31730.629655731187,0.0
6824.0,119367.60680013162,0.0
2296.0,1181588.209084847,0.0
1598.0,458583.1476435436,0.0
6861.0,744914.3057274036,0.0
438.0,3452594.703016465,0.0
5360.0,151853.72763814213,0.0
5712.0,192348.05500831336,0.0
3564.0,596838.0340006581,0.0
2966.0,1627328.0066296423,0.0
5551.0,686439.2882189847,0.0
2442.0,2719.76825620553,0.0
1521.0,22664.73546837942,0.0
2010.0,689007.9582387344,1.0
1746.0,1723577.583252027,1.0
3058.0,85672.70007047421,0.0
2786.0,90658.94187351767,0.0
1115.0,1477740.752538338,1.0
3979.0,216827.48029652768,0.0
1596.0,98213.85369631082,0.0
3931.0,39285.54147852433,0.0
5489.0,31277.3349463636,0.0
2212.0,105768.76551910397,1.0
2218.0,95191.88896719356,0.0
7887.0,0.0,0.0
6225.0,55906.347488669235,0.0
4604.0,135988.41281027652,0.0
4972.0,237997.8542063586,1.0
17.0,1186121.156178523,0.0
3983.0,698073.8524260861,1.0
3220.0,111812.69497733847,0.0
46.0,619502.7694690375,0.0
722.0,2659328.9616231853,1.0
4731.0,18131.788374703538,0.0
1729.0,3701906.7931686384,0.0
4473.0,5101831.953932207,0.0
3591.0,364146.74985862937,0.0
3747.0,2322379.8943266114,0.0
4047.0,217581.46049644242,0.0
3505.0,93680.90660263493,0.0
5613.0,303707.45527628425,0.0
2873.0,9579628.191301702,1.0
4507.0,229669.31941291146,0.0
5146.0,190383.77793438712,0.0
7570.0,0.0,0.0
5886.0,4381.848857220021,0.0
3832.0,624186.8147991692,0.0
3446.0,25686.700197496677,1.0
391.0,504668.10976258176,0.0
5600.0,38530.05029624501,0.0
4510.0,3907400.394748612,0.0
3342.0,563596.4219803682,0.0
3749.0,27499.87903496703,0.0
6456.0,43062.9973899209,1.0
3554.0,71016.17113425552,0.0
1303.0,151098.2364558628,0.0
2031.0,409476.22079538816,1.0
8038.0,8008.206532160729,0.0
636.0,232691.28414202871,1.0
6713.0,135988.41281027652,0.0
2774.0,78571.08295704865,0.0
3493.0,-10575.365569545836,0.0
1947.0,141146.90660287967,1.0
5262.0,93680.90660263493,1.0
1092.0,315039.8230104739,0.0
2610.0,20398.261921541478,0.0
4468.0,62554.6698927272,0.0
1216.0,36263.576749407075,0.0
4085.0,210026.5486736493,0.0
6125.0,-107279.74788366258,0.0
1286.0,37774.5591139657,0.0
602.0,78646.63207527659,0.0
155.0,1314554.6571660063,0.0
5210.0,61194.78576462444,0.0
4833.0,0.0,0.0
2500.0,77060.10059249002,0.0
4706.0,223020.9970088535,0.0
3046.0,4532.947093675884,0.0
2013.0,300685.49054716696,1.0
2641.0,252182.956644835,1.0
5405.0,385300.50296245015,0.0
3048.0,41703.11326181814,0.0
4203.0,63461.259311462374,1.0
2849.0,-7757.3834596439965,0.0
5730.0,635898.4391068631,0.0
3109.0,724969.3385152298,0.0
894.0,3364957.7258720645,0.0
1614.0,1956722.1621034232,0.0
5000.0,298267.91876387317,0.0
6275.0,4749017.571807768,1.0
4113.0,604090.7493505395,0.0
5807.0,95191.88896719356,0.0
1540.0,646700.4520310928,0.0
7842.0,134175.23397280616,0.0
3164.0,752620.3157866526,0.0
2781.0,1730074.807419629,0.0
6848.0,6043.929458234512,0.0
862.0,78193.337365909,0.0
774.0,755.491182279314,0.0
6391.0,-20242.630737991938,0.0
6893.0,15260.921882042143,0.0
886.0,178295.91901791812,0.0
5633.0,0.0,0.0
1037.0,0.0,0.0
6054.0,12087.858916469024,0.0
1062.0,58172.82103550718,0.0
1176.0,1510.982364558628,0.0
1085.0,9065.894187351769,0.0
6615.0,185397.53613134366,1.0
2166.0,1813.1788374703535,1.0
1346.0,6799.420640513826,1.0
7534.0,189326.0902791961,0.0
6584.0,12238.957152924886,0.0
237.0,706233.1571947028,0.0
547.0,648966.9255779308,0.0
7212.0,490313.7772992748,1.0
2953.0,76529.74578252995,0.0
1046.0,101840.21137125153,0.0
3762.0,6823.596358346764,0.0
7289.0,1510.982364558628,0.0
6438.0,-309.75138473451875,0.0
1825.0,742647.8321805657,0.0
528.0,104348.44209641885,0.0
1398.0,-70562.87642488793,0.0
4365.0,417031.13261818135,0.0
1726.0,-9065.894187351769,0.0
1740.0,202734.54778228936,0.0
2541.0,637634.557843741,1.0
1601.0,1359884.1281027652,0.0
1007.0,77060.10059249002,0.0
3357.0,225891.8635015149,1.0
7159.0,3777.45591139657,1.0
4616.0,63461.259311462374,0.0
918.0,673898.1345931481,0.0
3628.0,1069020.0229252293,1.0
2322.0,16855.008276651497,0.0
739.0,278821.5757320036,1.0
2636.0,55906.347488669235,0.0
4191.0,19189.476029894577,0.0
4741.0,-7403.813586337277,0.0
4588.0,646700.4520310928,0.0
157.0,527929.6832649618,1.0
1170.0,3543253.644889983,0.0
280.0,1804112.943283002,0.0
617.0,27197.682562055303,1.0
7913.0,1510.982364558628,0.0
194.0,20247.163685085616,0.0
7643.0,20398.261921541478,0.0
217.0,-1284.3350098748338,0.0
5626.0,30219.64729117256,0.0
1016.0,-5288.438275955198,0.0
4803.0,18131.788374703538,0.0
495.0,113323.6773418971,0.0
242.0,351891.1718996943,0.0
679.0,-25686.700197496677,0.0
627.0,-28708.664926613932,0.0
5853.0,1261670.2744064543,1.0
210.0,259888.966704084,1.0
4236.0,505423.6009448611,0.0
915.0,381674.1452875094,0.0
2131.0,0.0,0.0
2980.0,-22664.73546837942,0.0
6938.0,-453.2947093675884,0.0
1454.0,1060709.619920157,1.0
1428.0,883924.6832667973,0.0
540.0,116345.64207101436,0.0
3301.0,1721764.4044145567,1.0
5658.0,-755.491182279314,0.0
4304.0,214710.59400378104,1.0
7200.0,303707.45527628425,0.0
7025.0,315795.3141927532,1.0
7088.0,-14958.725409130417,0.0
7631.0,538665.2129651508,1.0
1638.0,32335.02260155464,0.0
7142.0,-66474.15814639228,0.0
7055.0,92171.43522044086,1.0
829.0,838595.2123300385,1.0
1830.0,27197.682562055303,0.0
2137.0,395877.3795143605,0.0
2475.0,651233.3991247687,0.0
3334.0,843128.1594237144,0.0
4300.0,474448.4624714092,1.0
6499.0,132966.44808115927,0.0
3274.0,611947.8576462443,0.0
6604.0,337704.5584788534,1.0
6345.0,2301226.1412227903,0.0
4774.0,163941.58655461113,0.0
6036.0,3475.2594384848444,0.0
6126.0,295397.05227121175,0.0
6754.0,38681.14853270088,0.0
6917.0,26442.19137977599,0.0
1942.0,861259.947798418,0.0
5243.0,483514.356658761,0.0
2983.0,-27953.173744334617,0.0
2874.0,-32032.826128642915,0.0
1189.0,129944.483352042,0.0
4185.0,2160704.7813188382,1.0
7628.0,3151.909212469298,1.0
7544.0,37774.5591139657,1.0
6536.0,220603.42522555968,1.0
2485.0,538665.2129651508,0.0
4960.0,2954398.130721288,0.0
6090.0,732826.4468109346,0.0
410.0,125245.32819826467,0.0
2249.0,875765.3784981808,0.0
2669.0,27802.075507878755,0.0
2074.0,-37774.5591139657,0.0
2458.0,66483.22404057963,1.0
7801.0,30219.64729117256,0.0
7788.0,1128703.826325295,0.0
7169.0,-63461.259311462374,0.0
1849.0,1427878.3345079035,0.0
2127.0,60439.29458234512,0.0
1804.0,44573.97975447953,0.0
841.0,342841.8985183527,0.0
8012.0,360067.097474321,0.0
2570.0,12087.858916469024,0.0
2912.0,145099.63646856503,1.0
5325.0,3626.357674940707,0.0
3316.0,-16167.51130077732,0.0
6388.0,-3928.554147852433,0.0
6392.0,6497.2241676021,0.0
1844.0,42609.70268055331,0.0
3248.0,143543.32463306966,1.0
7928.0,65954.3802129841,1.0
6484.0,983649.5193276668,0.0
6789.0,90658.94187351767,0.0
431.0,216070.4781318838,0.0
3167.0,81593.04768616591,0.0
5945.0,-6043.929458234512,0.0
1341.0,1586.5314827865593,0.0
849.0,400410.3266080364,1.0
1914.0,613458.840010803,0.0
600.0,510712.0392208163,0.0
869.0,178295.91901791812,0.0
7166.0,255658.21608331986,0.0
5975.0,2139551.028215017,1.0
511.0,169834.41777638978,0.0
4695.0,1077732.3472392743,1.0
1683.0,1771173.5277356238,0.0
1692.0,7554.91182279314,0.0
2393.0,272883.41503928823,1.0
