Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2006:Q1,Next40,20263207,25574356,10425097,1737466,1776054,4539464,2144525,1277641,3674109,5311149,4318424,895508,97217
2006:Q1,Bottom50,1540424,5478303,3169637,971350,114588,230437,273059,134035,585197,3937879,2664988,1201924,70967
2006:Q2,TopPt1,6768760,6842640,681933,238289,2365499,101231,69380,1879670,1506638,73881,42964,5394,25523
2006:Q2,RemainingTop1,10282781,10841052,2434801,344769,3111711,346900,504320,2083175,2015376,558271,411736,38294,108241
2006:Q2,Next9,22848824,25091458,6830662,882074,4110857,4617179,2055163,2649604,3945919,2242633,1882871,198174,161588
2006:Q2,Next40,20311817,25712547,10541578,1752690,1726526,4567928,2122529,1274300,3726995,5400729,4400597,895566,104566
2006:Q2,Bottom50,1526195,5624924,3276024,991521,112911,233874,273644,141315,595636,4098730,2808481,1212183,78066
2006:Q3,TopPt1,6956408,7032136,681282,224197,2471209,111271,73570,1949855,1520752,75728,42930,5212,27586
2006:Q3,RemainingTop1,10470096,11023285,2435286,354763,3210179,368793,529093,2095879,2029292,553189,411838,38770,102581
2006:Q3,Next9,23318472,25631939,6921245,899713,4257443,4676248,2111767,2758969,4006554,2313468,1942339,202100,169029
2006:Q3,Next40,20489827,25973398,10618985,1768251,1750599,4605555,2173727,1271862,3784419,5483570,4458728,914234,110608
2006:Q3,Bottom50,1516238,5782840,3377987,1011525,117190,237396,282787,148764,607191,4266601,2930828,1251126,84647
2006:Q4,TopPt1,7219411,7299480,678377,221091,2705462,121392,79431,2010499,1483227,80069,42649,5136,32284
2006:Q4,RemainingTop1,10793994,11336890,2422422,362403,3478486,391059,560217,2104398,2017905,542896,408653,39384,94859
2006:Q4,Next9,23913677,26302171,6988091,904622,4588897,4740801,2197776,2858587,4023396,2388494,1990191,205702,192601
2006:Q4,Next40,20679881,26221545,10610594,1779367,1825919,4648318,2260967,1268390,3827990,5541665,4481708,929232,130725
2006:Q4,Bottom50,1515785,5906973,3434436,1031025,125856,240949,296364,155973,622370,4391187,3017050,1277263,96874
2007:Q1,TopPt1,7499773,7579136,669400,229689,2877404,131504,82625,2030923,1557592,79363,42973,4860,31530
2007:Q1,RemainingTop1,11038878,11571481,2377745,368864,3661511,412946,580913,2095219,2074283,532603,405716,39894,86993
2007:Q1,Next9,24365148,26826770,6981590,899106,4827156,4795396,2228851,2917714,4176958,2461622,2066329,203712,191581
2007:Q1,Next40,20723563,26283022,10444500,1792078,1871733,4681298,2285789,1260684,3946940,5559459,4515900,915696,127863
2007:Q1,Bottom50,1478037,5964974,3427407,1054827,132304,244352,302628,162246,641210,4486937,3111528,1276010,99399
2007:Q2,TopPt1,7659555,7740561,661697,229616,2987383,140931,88687,2056298,1575949,81006,42927,4746,33333
2007:Q2,RemainingTop1,11136263,11652193,2341411,376746,3760556,432377,612845,2088210,2040048,515930,403351,40675,71904
2007:Q2,Next9,24665149,27220505,6986003,901999,4974641,4851175,2323690,2981224,4201773,2555356,2126777,206986,221593
2007:Q2,Next40,20753016,26381634,10334078,1805494,1890599,4738413,2378585,1253338,3981127,5628618,4551351,928130,149137
2007:Q2,Bottom50,1432020,6051083,3451013,1077461,136619,246849,316573,168561,654008,4619064,3212887,1296428,109749
2007:Q3,TopPt1,7891167,7974294,651748,223261,3039898,150289,92320,2062258,1754520,83127,42536,4673,35918
2007:Q3,RemainingTop1,11285097,11802941,2295664,384731,3782362,451491,635281,2072617,2180794,517844,401175,40932,75737
2007:Q3,Next9,25066849,27649041,6957060,908677,5038895,4901339,2366271,3024638,4452161,2582192,2172883,212035,197274
2007:Q3,Next40,20838976,26511944,10201523,1814853,1885753,4790118,2414031,1243782,4161884,5672968,4584957,953710,134301
2007:Q3,Bottom50,1361997,6137132,3479576,1095835,138989,249236,323926,174355,675214,4775135,3317897,1344203,113035
2007:Q4,TopPt1,7794380,7882318,659599,234672,2866456,139108,85963,2020529,1875991,87939,45351,5351,37237
2007:Q4,RemainingTop1,11135876,11654754,2264446,377334,3565214,463012,630450,2064453,2289846,518878,400647,43556,74675
2007:Q4,Next9,24949263,27562671,6899604,915943,4812349,4935957,2363215,2981014,4654589,2613408,2196179,214522,202707
